,srch_destination_id,srch_adults_cnt,srch_children_cnt,stay_dur,srch_rm_cnt,prediction
1344,11361,2,0,1.0,1,[33 14 15 91 39]
1346,11361,2,0,1.0,1,[33 14 15 91 39]
1350,8791,2,0,5.0,1,[65 66 52 87 84]
1440,12257,1,0,3.0,1,[41 70 17 33 50]
1443,18142,1,0,3.0,1,[81 36 85 76 82]
1450,8791,2,0,3.0,1,[65 66 52 87  0]
1521,13968,3,0,5.0,1,[10 36 15 47  6]
1536,21688,2,0,3.0,1,[63 61 81 46 12]
1551,12236,3,0,4.0,1,[33 47 77 51 50]
1563,669,2,0,5.0,1,[ 0 83 21 33 97]
1588,13094,2,0,4.0,1,[ 0 21 83 33  9]
1598,24897,2,1,2.0,1,[56 69 17 70 19]
1599,24897,2,1,2.0,1,[56 69 17 70 19]
1604,12217,2,0,1.0,1,[23  4 19 39 49]
1639,1114,2,0,2.0,1,[42 48  5  2 82]
1675,1152,1,0,12.0,1,[65 73 62 58 99]
1695,12669,2,0,1.0,1,[21 49 77 13 16]
1705,8976,1,0,8.0,1,[26 84 22 73 20]
1714,8864,2,0,2.0,1,[65 66 52 17 87]
1735,11634,1,0,7.0,1,[65 73 26 91 85]
1845,25814,2,0,1.0,1,[28 13 48 39 91]
1958,43002,2,0,1.0,1,[ 7 42 48 91 15]
1964,26981,2,0,1.0,1,[23 18  7 42 39]
1978,25946,3,0,2.0,1,[73 17 83 48 10]
2016,8221,1,1,3.0,1,[82 46 81 62 58]
2023,8221,1,0,3.0,1,[82 46 81 62 85]
2105,20225,1,1,4.0,1,[59 29 36 62 12]
2126,8220,1,1,2.0,1,[12 46 59 62 29]
2132,5497,2,0,2.0,1,[61 81 62 57 63]
2136,8220,1,0,2.0,1,[12 36 46 57 15]
2153,20113,2,0,4.0,1,[57 12 81 62 60]
2160,59401,2,1,1.0,1,[47  7 48 30 99]
2169,44017,2,0,3.0,1,[12 86 81 80 17]
2174,14026,1,0,2.0,1,[ 6 51 83 10 30]
2176,12682,2,0,1.0,1,[46 64 58 61 82]
2192,1342,2,0,1.0,1,[62 57 60 85 81]
2195,12682,2,0,1.0,1,[46 64 58 61 82]
2203,12682,2,0,3.0,1,[46 64 58 61 82]
2207,20408,2,0,2.0,1,[57 85 62 60 81]
2209,20408,2,0,3.0,1,[57 85 62 60 81]
2216,12682,2,0,2.0,1,[46 64 58 61 82]
2218,12682,2,0,1.0,1,[46 58 64 61 82]
2231,20408,2,0,3.0,1,[57 85 62 60 81]
2233,20464,2,0,1.0,1,[61 46 81 15 30]
2241,468,1,0,3.0,1,[64 13 46 37 58]
2244,8220,2,0,4.0,1,[12 46 62 36 29]
2247,8220,2,0,1.0,1,[12 46 62 36 29]
2250,12051,1,0,3.0,1,[67 82 46 36 62]
2258,20782,2,0,1.0,1,[82  2 48 42 78]
2267,11335,4,0,4.0,2,[26 84 92 34 73]
2269,8799,2,0,1.0,1,[22 97 58  5 86]
2271,8806,2,0,1.0,1,[11 64 25  2 78]
2273,12756,2,0,1.0,1,[33 25 98 32 48]
2277,28612,2,1,3.0,1,[22 86 91 17 51]
2305,30790,2,0,3.0,1,[92 58 86 73 51]
2311,43507,2,0,5.0,1,[53 86 91 17 80]
2313,43507,4,0,5.0,2,[53 86 91 17 80]
2315,8253,1,0,2.0,1,[97 25 11 98  9]
2323,14041,2,0,3.0,1,[22  8  5 11 64]
2333,11335,2,0,4.0,1,[26 84 92 34 73]
2337,8291,1,0,2.0,1,[95  9 98 59 18]
2339,8240,1,0,1.0,1,[ 5 11  2 62 59]
2341,8799,1,0,1.0,1,[22 97  5 86 58]
2344,21872,1,0,1.0,1,[97 86  5 43 58]
2346,8253,1,0,2.0,1,[97 25 11 98 21]
2349,8253,1,0,1.0,1,[97 25 11 98 21]
2358,8745,2,0,2.0,1,[64  5 25 11 22]
2380,22456,2,0,7.0,1,[58 81 85 36 61]
2385,8253,2,0,4.0,1,[97 25 11 98 64]
2407,8819,2,0,5.0,1,[99 97 64 50 21]
2408,20327,2,0,3.0,1,[43 15 30 36 64]
2421,21648,2,1,1.0,1,[ 8 91 94 48 13]
2429,12618,2,1,1.0,1,[59 89 49 98 97]
2432,12051,2,0,4.0,1,[67 36 82 46 62]
2444,8822,1,0,2.0,1,[36 15 30 57  5]
2449,783,1,0,4.0,1,[46 63 78 61 81]
2452,783,1,0,2.0,1,[63 46 78 61 81]
2460,783,1,0,3.0,1,[63 46 78 61 81]
2466,783,1,0,3.0,1,[63 46 78 61 81]
2474,8747,1,0,3.0,1,[97 99  2  9  6]
2478,783,1,0,1.0,1,[63 46 78 61 81]
2494,1187,2,0,5.0,1,[55 98 56 17 69]
2496,11735,2,1,4.0,1,[99 73 75 81 17]
2502,12225,1,0,1.0,1,[48 49 21 28 77]
2505,13872,2,5,1.0,2,[73 17 90 91 18]
2513,12332,1,2,1.0,1,[32 25 48 94 42]
2518,12332,1,1,1.0,1,[32 25 48 94 91]
2565,12372,4,0,3.0,1,[70 19 68 72 41]
2574,8253,2,0,4.0,1,[97 25 11 98 37]
2595,12175,2,3,6.0,1,[28 18 72 13 91]
2601,12261,2,0,5.0,1,[72 91 18 42 95]
2638,22238,1,0,1.0,1,[ 6 99 59 15 16]
2641,17614,1,1,1.0,1,[18 41 48 91 59]
2643,1589,1,1,2.0,1,[33 18 17 91 19]
2645,8279,1,1,15.0,1,[98 55 70 41 10]
2646,12153,1,0,1.0,1,[50 42 16 94 91]
2648,30796,1,0,2.0,1,[73 17 86 80 84]
2650,14139,2,0,1.0,1,[17 21 55 33 41]
2652,25800,2,1,1.0,1,[95 68 21 25 19]
2654,6000,2,1,1.0,1,[94 91 48 14 32]
2660,8283,2,0,1.0,1,[95  2 18 42 91]
2662,8271,5,0,1.0,1,[95  2 72 98 19]
2666,8279,1,0,1.0,1,[98 55 70 41 95]
2669,17614,1,0,2.0,1,[18 41 91 48 59]
2673,11361,1,0,1.0,1,[33 14 15 91 13]
2675,8271,1,1,1.0,1,[95  2 91 98 72]
2677,8219,2,0,1.0,1,[91 18 42  2 77]
2680,8244,1,1,1.0,1,[91 11 42 21 48]
2683,8272,1,0,1.0,1,[42 48 91 34 96]
2685,24902,1,0,1.0,1,[ 4 25  5 28 19]
2687,8271,1,0,1.0,1,[95  2 91 98 19]
2690,8260,1,0,3.0,1,[41 21 83 70 48]
2692,8260,1,0,1.0,1,[41 21 83 70 48]
2695,8293,1,0,3.0,1,[86 11 41 48 15]
2697,8267,1,0,1.0,1,[56 98 41 70 69]
2699,11361,1,0,2.0,1,[33 14 15 91 39]
2702,12756,1,0,1.0,1,[33 98 25 32 48]
2704,16173,2,0,2.0,1,[53 86 91 17 80]
2708,8279,1,0,1.0,1,[98 41 70 55 95]
2712,44045,1,0,3.0,1,[41 70 98 83 25]
2714,8267,1,0,2.0,1,[98 56 41 70 69]
2716,28584,1,0,1.0,1,[96 84 86 80 17]
2719,38778,2,0,4.0,1,[57 35 86 17 81]
2731,11815,1,0,9.0,1,[63 81 46 58 12]
2740,23894,1,0,1.0,1,[ 5 14 30 82 85]
2756,8250,1,0,1.0,1,[ 1 45 79 54 24]
2763,61702,3,0,1.0,2,[32 47 91  7 94]
2768,23250,2,0,3.0,1,[54 88 86 91 51]
2782,12209,1,0,4.0,1,[25  9 40 83 11]
2795,11626,2,0,1.0,1,[ 6 39 16 78 91]
2818,8236,2,3,1.0,1,[91 95 18 16 48]
2823,8283,2,0,3.0,1,[95 18 42 91 59]
2825,8283,2,0,2.0,1,[95 18 42 91 59]
2833,8283,2,0,2.0,1,[95 18 42 91 59]
2853,21648,2,0,1.0,1,[ 8 91 94 48 42]
2926,26414,2,0,3.0,1,[41 95  9 33 98]
2929,21915,1,0,1.0,1,[25 28  5 48 30]
2931,32704,2,0,2.0,1,[ 9  4 91 47 50]
2934,12217,1,0,1.0,1,[23  4 39 19 49]
2941,32704,2,0,2.0,1,[ 4  9 91 47 50]
2955,64627,2,0,1.0,1,[34 48 33 91 39]
2963,12206,2,0,1.0,1,[ 1 79 45 24 51]
2969,8791,2,1,6.0,1,[65 66 52 87 84]
3073,1531,2,2,2.0,1,[97 70 41 69 83]
3082,3105,2,0,1.0,1,[43 91 30 17 15]
3089,8252,2,0,5.0,1,[46 29 82 36 58]
3097,1863,1,1,2.0,1,[ 7 28 59 33 42]
3101,1863,1,2,1.0,1,[ 7 28 33 59 42]
3104,26227,1,2,1.0,1,[95 89  2  9 50]
3109,9524,2,0,2.0,1,[ 9 48 25 50 47]
3111,12450,2,0,1.0,1,[95 49 59 98 72]
3137,8864,2,2,5.0,1,[65 52 66 87 84]
3192,8747,2,0,2.0,1,[97 99  9  2 59]
3208,8808,2,0,3.0,1,[58 36  2 64 82]
3248,8747,2,2,1.0,1,[97 99  9  2 42]
3255,55940,1,2,1.0,1,[72 91 51 17 13]
3271,8229,2,0,1.0,1,[91 28  6 48 59]
3279,1278,4,0,1.0,2,[50 32  7 91 48]
3285,26496,2,0,1.0,1,[43  7  6 91 42]
3291,11360,2,0,1.0,1,[91 50 48 39 77]
3321,8278,3,2,6.0,1,[91 95 18 16 48]
3324,8223,1,0,1.0,1,[98 70 41 56 95]
3327,25065,1,0,1.0,1,[33 47 91  5 18]
3329,25779,2,0,1.0,1,[40 82 94 17 48]
3333,52044,2,0,1.0,1,[ 7 48 91 42 32]
3335,8223,2,0,1.0,1,[70 98 41 95 56]
3337,14806,2,0,1.0,1,[32 28 48 94 42]
3342,14806,1,0,1.0,1,[32 28 48 94 42]
3346,25779,1,0,1.0,1,[40 82 94 17 51]
3350,14806,1,0,2.0,1,[32 28 48 94 42]
3352,12150,1,0,1.0,1,[99 32 91 42 77]
3361,19566,1,0,1.0,1,[61  2 30 82 78]
3371,8257,1,0,4.0,1,[90 16 68 91 95]
3386,8267,2,0,3.0,1,[98 56 41 70 69]
3392,8289,2,0,6.0,1,[64 11  2 82 29]
3397,28514,2,0,2.0,1,[96 26 34 73 70]
3400,45326,1,0,2.0,1,[70 41 72 69 56]
3421,25909,1,0,5.0,1,[57 35 86 81 17]
3429,8220,2,1,4.0,1,[12 46 62 59 29]
3434,20479,1,0,1.0,1,[12 59 62 15 81]
3445,8242,1,0,3.0,1,[25 37  5 21 59]
3447,41332,2,0,1.0,1,[81 60 82 20 57]
3478,8242,2,0,3.0,1,[25 37  5 59 21]
3481,58916,2,0,2.0,1,[21 69 25 75 51]
3483,24946,3,0,1.0,1,[51 50 91 32 99]
3507,28514,4,0,1.0,1,[96 26 73 34 41]
3517,12913,2,0,4.0,1,[86 44 30 63 85]
3535,11815,2,0,4.0,1,[63 46 61 81 12]
3551,8278,1,0,2.0,1,[95 68 18 91 21]
3554,8250,2,0,1.0,2,[ 1 24 45 79 51]
3556,8253,1,0,3.0,1,[97 25 64 11 98]
3567,14985,1,0,3.0,1,[40 18 91 48 39]
3570,8739,1,0,4.0,1,[ 2 29 59 64 82]
3583,8267,1,0,3.0,1,[98 56 41 70 69]
3591,20913,2,0,1.0,1,[86 93 80 17 44]
3594,8862,2,1,2.0,1,[86 93 17 44 80]
3596,23480,2,0,1.0,1,[25  2  5 69 33]
3604,8812,2,1,7.0,1,[58  2  9 46 64]
3607,22341,2,1,1.0,1,[46 61 20 82 81]
3613,19945,2,0,3.0,1,[57 58 85  3 82]
3616,12730,2,0,2.0,1,[64 86 30 25 22]
3630,8745,2,0,1.0,1,[64  5 25  8 11]
3662,8279,1,0,2.0,1,[98 70 41 55 95]
3666,45327,1,0,1.0,1,[41 98 70 56 55]
3668,59679,1,0,1.0,1,[94  4 91 28 48]
3670,18077,2,1,3.0,1,[36 67 82 62 46]
3677,8213,1,0,2.0,1,[97 98  2  9 33]
3680,44281,1,0,3.0,1,[97 46 91 82 64]
3682,12618,1,1,1.0,1,[89 59 98 97 49]
3688,12307,1,0,1.0,1,[38 75 20 30 78]
3691,87,1,0,5.0,1,[97 86  3 17 64]
3694,25660,1,0,1.0,1,[26 84 92 73 80]
3702,8253,1,0,2.0,1,[97 25 98 37 11]
3709,8222,1,0,4.0,1,[58 82 30 85 46]
3713,48884,1,0,4.0,1,[58 85 82 43 30]
3715,1532,1,0,2.0,1,[36 62 82 81 30]
3720,1019,1,0,2.0,1,[99 81 38 82 12]
3724,9115,1,0,2.0,1,[26 92 81 85 61]
3734,44281,1,0,6.0,1,[97 46 91 82 51]
3743,17426,2,1,2.0,1,[91 16 48 13 28]
3745,8798,2,1,2.0,1,[28 49 16 42 48]
3756,8278,2,0,5.0,1,[95 37 68 18 91]
3759,21103,3,0,3.0,1,[72 33 13 47 91]
3761,1890,1,0,1.0,1,[40 13 30 17 82]
3770,13747,4,0,1.0,1,[95 98 41 18 69]
3777,24127,1,0,3.0,1,[39 16  7 48 32]
3785,19940,1,0,1.0,1,[29  5 82 85 30]
3788,4064,2,0,2.0,1,[ 7 48 81 91 42]
3793,12814,1,0,2.0,1,[14 48 91 32 39]
3807,5024,1,0,2.0,1,[48 91 94 16 47]
3828,12784,1,0,2.0,1,[16 42 91 50 18]
4002,8278,2,2,6.0,1,[95 91 37 18 68]
4007,3414,2,0,3.0,1,[48 91 23 94 47]
4011,1121,2,0,1.0,1,[47  7 91 48 32]
4013,28554,2,0,1.0,1,[32 18 77 72 91]
4016,1325,2,0,1.0,1,[77 51 17 39 48]
4029,17563,2,0,3.0,1,[13 91 68 15 90]
4054,3414,2,0,4.0,1,[48 47 91 94 42]
4070,8291,2,0,1.0,1,[95  9 98 55 59]
4073,25823,2,0,1.0,1,[23 86 17 18 76]
4076,58059,2,0,1.0,1,[77 51  8 39 91]
4084,8824,4,0,1.0,2,[65 66 52 84  0]
4099,8267,2,0,1.0,1,[56 98 41 70 69]
4121,8250,1,0,4.0,1,[ 1 45 79 24 54]
4133,8287,1,0,2.0,1,[ 9 49 18 68 95]
4136,8220,6,0,4.0,3,[12 46 36 62 15]
4143,30337,2,0,4.0,1,[25 64 59 37  2]
4147,8647,2,0,2.0,1,[21 25 97 37  2]
4149,8250,2,1,2.0,1,[ 1 24 45 79 54]
4151,43055,1,0,1.0,1,[18 42 91 48 94]
4153,8278,2,1,3.0,1,[95 18 68 91 16]
4165,61990,2,0,1.0,1,[82 61 78 81 48]
4170,8241,1,0,2.0,1,[12 36 62 82 15]
4175,8827,2,0,2.0,1,[42  7 39 91 48]
4182,12994,2,0,1.0,1,[40 17 23 51 91]
4200,20925,3,0,2.0,1,[ 5 30 85 15 93]
4207,8788,2,0,3.0,1,[64 25  2 59 11]
4212,8273,2,1,2.0,1,[68 91 18  9 72]
4214,21489,2,1,1.0,1,[32 91 47 50  7]
4221,8260,2,0,4.0,1,[41 21 83 70 91]
4363,8266,2,0,2.0,1,[ 9 95 18 98 41]
4396,8243,2,0,3.0,1,[42 51 21 91 48]
4402,1152,2,0,4.0,1,[73 65 58 62 99]
4411,8268,4,2,5.0,2,[34 71 16  0 96]
4425,8254,1,0,2.0,1,[95 21 98 41 72]
4444,12823,2,1,1.0,1,[18 95 91 42 48]
4453,12271,2,1,2.0,1,[68 17 91 86 73]
4455,8273,2,1,2.0,1,[68 91 72 18  9]
4460,8279,2,1,1.0,1,[98 41 70 55 95]
4466,12217,2,1,1.0,1,[23  4 19 39 49]
4476,11358,1,0,1.0,1,[ 6 41 14 91 59]
4478,11928,1,0,1.0,1,[68 97 13  9 72]
4509,11922,1,0,2.0,1,[37 28 55 59 48]
4512,8260,2,0,3.0,1,[83 41 21 98 70]
4546,1542,2,1,1.0,1,[50 82 47 91 42]
4555,8230,2,0,1.0,1,[95 19 21 98 68]
4556,42630,2,0,4.0,1,[21 69 68 98 95]
4585,10349,4,0,3.0,2,[90 91 86 73 17]
4594,8806,1,0,2.0,1,[64 11 25 99 62]
4596,8746,1,0,6.0,1,[22 64 99  9 58]
4602,11629,2,1,2.0,1,[ 4 55 17 80 83]
4604,6205,2,1,1.0,1,[ 7 48 91 81 76]
4609,27905,2,1,2.0,1,[33 22  5 17 25]
4614,26410,2,1,4.0,1,[50 10  6 37 33]
4616,26383,2,1,1.0,1,[63 86 81 26 80]
4620,26378,2,1,2.0,1,[51 91 86 17 30]
4627,7258,2,1,2.0,1,[28 10 57 48 13]
4640,12654,2,1,1.0,1,[34 16 42 71 91]
4642,12654,2,2,1.0,1,[34 16 42 71 91]
4647,44813,2,0,3.0,1,[48 94 16 50 91]
4653,669,2,1,7.0,1,[ 0 83 21 97 33]
4685,12257,2,0,1.0,1,[41 70 17 50 33]
4694,12839,2,0,1.0,1,[ 0 70 26 68 72]
4695,12951,2,0,1.0,1,[42 33 19 18 16]
4699,8788,2,0,1.0,1,[64  2 59 25 11]
4726,12228,4,1,2.0,2,[98  9 17 55 97]
4738,51559,2,2,1.0,1,[59 34 91 48 10]
4749,25431,2,3,1.0,1,[41 37 31 91 48]
4753,11353,3,2,1.0,2,[ 0 48 31 41 42]
4790,8286,2,1,4.0,1,[98 95 41 37 97]
4792,43240,2,0,1.0,1,[22 90 30 85 76]
4794,43240,2,1,1.0,1,[22 90 30 76 86]
4811,25095,2,0,2.0,1,[ 4 17 89 15 91]
4816,8251,2,0,5.0,1,[97 43 15  2 64]
4819,16180,1,0,1.0,1,[16 91 42 32 48]
4825,8251,1,0,4.0,1,[97 43  2 15 64]
4827,8251,1,0,1.0,1,[97 43  2 15 64]
4839,8229,2,0,3.0,1,[28 91  6 48 59]
4863,44035,1,0,1.0,1,[64 25  5 30 58]
4884,21918,2,0,1.0,1,[99  2 25  9 64]
4902,21918,2,0,1.0,1,[99  2 25  9 64]
4925,21918,2,0,1.0,1,[99 25  2  9 36]
4948,44035,2,0,1.0,1,[25 64  5 58 28]
4952,43199,4,0,4.0,1,[64 22 25  2 30]
4958,23237,3,0,4.0,1,[ 5 30 15 11 36]
4962,12592,3,0,1.0,1,[13  8 28 91  7]
4972,12523,2,0,3.0,1,[48 40 16 50 94]
4980,14803,2,0,2.0,1,[77  7 42 48 91]
5012,8793,2,0,4.0,1,[28 91 77 48 41]
5017,12273,1,0,4.0,1,[18 32 51 48 42]
5026,12440,2,0,5.0,1,[31 86 80 17 91]
5070,24412,2,0,2.0,1,[50  7 91 47 48]
5087,45631,1,0,2.0,1,[70 21 69 83 41]
5106,45631,2,0,2.0,1,[70 21 69 83 41]
5108,45631,1,0,2.0,1,[70 21 69 83 41]
5152,8251,2,0,1.0,1,[97  2 43 64 15]
5154,11835,2,0,3.0,1,[54 91 51 10 47]
5156,11835,2,0,3.0,1,[54 91 51 10 47]
5159,8791,2,0,7.0,1,[65 66 52 87 84]
5179,3328,2,0,2.0,1,[93 80 86 17 84]
5194,24652,2,1,2.0,1,[21 39 37 25 83]
5197,24652,2,0,2.0,1,[21 39 37 25 83]
5200,27279,1,0,2.0,1,[91 42 15 48 47]
5203,27279,3,0,3.0,2,[42 91 15 48 47]
5205,11,2,0,1.0,2,[94 91 32 48 18]
5207,11332,2,0,3.0,1,[43 62 82 91  7]
5209,576,1,0,4.0,1,[91 48 15 47 40]
5211,106,1,0,3.0,1,[48 91 47 94 14]
5213,27182,1,0,3.0,1,[28 47 91 33 48]
5215,11332,1,0,6.0,1,[43 62 82 91 15]
5217,27182,5,0,3.0,3,[28 47 91 13 48]
5221,27699,3,0,2.0,2,[ 6 18 59 42 13]
5224,27279,4,0,3.0,3,[42 91 15 48  7]
5226,27279,4,0,3.0,3,[42 91 15 48  7]
5230,27699,2,3,1.0,2,[18 42  6 59 91]
5233,27182,1,0,1.0,1,[28 91 47 33 42]
5235,576,2,0,2.0,1,[91 48 15 42 40]
5237,576,1,0,2.0,1,[91 15 48 42 50]
5244,27182,2,4,1.0,1,[28 91 47 33 42]
5252,8270,2,0,2.0,1,[59  7 68 18 39]
5258,8288,2,0,1.0,1,[68 95 41 37  9]
5267,8811,2,0,2.0,1,[37 55 91 98 33]
5310,41137,1,0,2.0,1,[64 67 58 62 82]
5313,23090,2,0,3.0,1,[38 75 86 20 30]
5322,12010,2,0,2.0,1,[28 10 42 91 48]
5324,12010,2,0,1.0,1,[28 10 42 91 48]
5341,21546,6,0,1.0,2,[47  7 30 85 61]
5346,8862,2,0,5.0,1,[64 25 99 11  5]
5348,8344,1,0,1.0,1,[30 15 85 61  5]
5404,12216,2,0,2.0,1,[72 41 91 21 97]
5464,8862,4,1,3.0,2,[64 25 99 22 11]
5469,12191,2,0,2.0,1,[95 68 19  9 69]
5471,8250,1,0,1.0,1,[ 1 45 24 79 54]
5506,12190,1,0,2.0,1,[73 68 95 21 19]
5509,12191,1,0,1.0,1,[95 68 19  9 69]
5512,8283,1,0,4.0,1,[95 18 42 91  2]
5517,12603,1,0,2.0,1,[49  4 28  6 21]
5520,12190,1,0,2.0,1,[73 68 95 21 19]
5527,5914,1,0,2.0,1,[48 94 16 91 47]
5531,12191,1,0,2.0,1,[95 68 19  9 21]
5538,12190,1,0,7.0,1,[73 68 95 21 19]
5540,8230,1,0,3.0,1,[95 19 98 68 21]
5542,8230,1,0,3.0,1,[95 19 98 68 21]
5545,12190,1,0,3.0,1,[73 68 95 21 19]
5556,12191,1,1,9.0,1,[95 68 19  9 72]
5561,12191,1,0,1.0,1,[95 68 19  9 21]
5563,12190,1,0,3.0,1,[73 68 95 21 19]
5565,12190,1,0,3.0,1,[73 68 95 21 19]
5567,12190,1,0,2.0,1,[73 68 95 21 19]
5569,12190,1,0,1.0,1,[73 68 95 21 19]
5585,27082,2,0,2.0,1,[18 91 48 94 13]
5613,17672,2,0,4.0,1,[ 0 96 34 84 50]
5615,27082,1,0,1.0,1,[18 91 48 94 42]
5618,12190,1,0,2.0,1,[73 68 95 21 19]
5627,12190,1,0,1.0,1,[73 68 95 21 19]
5629,8235,1,0,1.0,1,[16 42 91 59 99]
5632,42630,1,0,1.0,1,[69 95 21 68 98]
5634,8235,5,0,1.0,5,[42 13 16 19 91]
5652,8284,2,0,2.0,1,[96 84  0 25 26]
5732,26114,2,0,1.0,1,[33 90 91 13 47]
5738,1691,2,0,1.0,1,[44 86 34 91 15]
5760,27082,2,0,1.0,1,[18 91 48 94 42]
5793,1803,4,0,1.0,1,[42  7 50 23 28]
5849,26014,4,1,1.0,4,[16 15 50 42 32]
5879,17429,4,1,2.0,4,[32 30 91 86 48]
5888,8270,2,1,2.0,1,[28 42 48 40 51]
5896,25998,7,6,1.0,4,[28 26 91  7 31]
5907,27453,1,0,1.0,1,[50 91  7 48 47]
5908,11621,1,0,3.0,1,[92 91 51 33 83]
5910,6672,1,0,1.0,1,[42 91 48 50  7]
5916,8283,1,0,1.0,1,[95 42 18 59 91]
5921,1542,1,0,1.0,1,[50 82 42 91 48]
5925,8230,2,0,1.0,1,[95 19 98 68 21]
5933,3254,2,0,2.0,1,[ 4 89  8 17 37]
5938,8266,1,0,3.0,1,[ 9 95 18 23 91]
5943,19522,1,0,2.0,1,[91 16 48 42 47]
5952,44976,2,0,1.0,1,[55  4  6 10 16]
5958,8803,1,0,1.0,8,[81 63 12 46 61]
5966,24693,1,0,2.0,1,[23 25 19 72 39]
5980,8293,1,0,1.0,1,[86 11 41 48 15]
5987,23857,2,0,1.0,1,[ 8 37 62 30 78]
5993,635,1,0,1.0,1,[36 67 62 12 82]
5996,635,1,0,1.0,1,[36 62 67 12 46]
6009,20332,1,0,1.0,1,[15 64 67 30 62]
6013,23240,2,0,1.0,1,[22 86 30 81 82]
6020,23237,3,1,1.0,1,[ 5 30 15 11 85]
6035,23238,4,1,1.0,2,[15 48 81 30 39]
6037,17834,1,0,2.0,1,[29 82 85 90 46]
6049,635,2,0,2.0,1,[36 62 67 46 12]
6058,635,2,0,1.0,1,[36 62 67 46 12]
